timestamp,user_id,session_id,video_id,bitrate,startup_time,buffer_count,buffer_duration,watch_time,error_code,device_type,network_type
2026-01-01 00:00:00,4845,17787,469,720,3.95,1,0.94,52,1,mobile,WiFi
2026-01-01 00:00:01,1903,11411,160,360,3.46,0,4.37,329,0,mobile,5G
2026-01-01 00:00:02,2077,10077,38,360,0.3,1,0.58,1743,0,desktop,4G
2026-01-01 00:00:03,2948,12176,145,480,1.45,0,1.02,233,0,mobile,WiFi
2026-01-01 00:00:04,2383,15401,99,1080,9.67,0,5.66,1045,0,mobile,WiFi
2026-01-01 00:00:05,2679,18115,224,1080,0.68,2,2.65,552,1,tv,5G
2026-01-01 00:00:06,3650,13562,129,720,4.22,2,0.92,832,0,tv,5G
2026-01-01 00:00:07,4012,15101,25,360,0.53,3,1.21,663,0,mobile,WiFi
2026-01-01 00:00:08,3356,11751,65,720,5.11,4,1.71,1798,0,mobile,WiFi
2026-01-01 00:00:09,3038,13101,328,360,8.13,1,3.01,1748,0,mobile,5G
2026-01-01 00:00:10,2862,15755,135,1080,3.25,1,1.26,1705,0,desktop,4G
2026-01-01 00:00:11,3911,13210,79,720,0.78,0,0.2,1267,0,mobile,5G
2026-01-01 00:00:12,2503,13168,78,480,0.08,2,1.01,1691,0,desktop,4G
2026-01-01 00:00:13,2827,12388,61,720,2.31,0,1.6,726,0,tv,4G
2026-01-01 00:00:14,1589,13795,176,720,1.02,4,2.95,544,0,mobile,WiFi
2026-01-01 00:00:15,2023,19450,178,240,2.02,0,1.86,34,0,mobile,5G
2026-01-01 00:00:16,2852,10718,364,480,0.16,2,3.42,1766,1,tv,WiFi
2026-01-01 00:00:17,1929,15226,100,480,0.28,0,0.37,1136,0,tv,4G
2026-01-01 00:00:18,4406,16866,98,1080,1.68,2,3.57,463,0,desktop,4G
2026-01-01 00:00:19,2382,15493,223,480,1.27,0,1.21,1262,0,tv,4G
2026-01-01 00:00:20,3752,13550,312,240,2.41,4,0.15,668,0,desktop,WiFi
2026-01-01 00:00:21,3068,13911,343,1080,0.29,4,0.61,403,0,desktop,4G
2026-01-01 00:00:22,4955,12094,100,480,0.39,2,2.4,267,0,mobile,4G
2026-01-01 00:00:23,4232,15578,261,360,0.33,0,0.25,1242,0,desktop,4G
2026-01-01 00:00:24,2231,11405,241,360,0.1,0,0.05,895,0,desktop,5G
2026-01-01 00:00:25,4474,16257,22,480,0.3,1,0.13,266,0,tv,WiFi
2026-01-01 00:00:26,1081,14127,282,1080,2.02,1,1.28,351,0,desktop,4G
2026-01-01 00:00:27,4789,13830,104,360,8.48,0,1.5,357,0,tv,5G
2026-01-01 00:00:28,4982,13882,99,360,6.31,2,0.1,1772,0,mobile,WiFi
2026-01-01 00:00:29,3960,16488,459,1080,0.27,0,0.42,786,0,tv,5G
2026-01-01 00:00:30,3253,11038,326,1080,0.4,0,0.28,1445,0,desktop,WiFi
2026-01-01 00:00:31,3144,17145,422,1080,4.28,4,0.3,349,0,mobile,5G
2026-01-01 00:00:32,1233,17133,320,240,2.49,3,1.03,1716,0,mobile,5G
2026-01-01 00:00:33,4038,12329,384,480,1.32,2,0.74,940,1,desktop,5G
2026-01-01 00:00:34,3515,18468,317,1080,1.12,1,7.73,1313,0,desktop,4G
2026-01-01 00:00:35,3920,14611,311,480,1.15,1,0.68,800,1,tv,WiFi
2026-01-01 00:00:36,3244,10757,288,1080,0.18,2,1.45,726,0,desktop,4G
2026-01-01 00:00:37,1576,17405,289,1080,2.13,0,1.59,681,0,desktop,4G
2026-01-01 00:00:38,4766,15160,82,720,0.2,2,0.45,1527,0,mobile,5G
2026-01-01 00:00:39,3515,10705,447,720,0.9,3,0.86,1448,0,tv,5G
2026-01-01 00:00:40,2573,11650,332,1080,2.05,0,2.04,1293,0,mobile,4G
2026-01-01 00:00:41,4164,11424,347,360,0.18,3,0.08,1094,0,desktop,4G
2026-01-01 00:00:42,3540,19327,272,360,0.51,1,0.32,1190,0,tv,5G
2026-01-01 00:00:43,3134,12720,6,720,1.23,1,0.64,651,0,desktop,4G
2026-01-01 00:00:44,2789,16469,139,720,3.1,1,1.04,1568,0,mobile,WiFi
2026-01-01 00:00:45,3346,17743,77,240,1.23,1,0.56,1444,0,mobile,4G
2026-01-01 00:00:46,3652,17380,129,720,0.26,2,0.84,744,1,mobile,5G
2026-01-01 00:00:47,1053,11439,280,480,2.86,0,0.75,820,0,mobile,WiFi
2026-01-01 00:00:48,2885,10694,76,720,0.45,1,0.29,767,0,tv,WiFi
2026-01-01 00:00:49,4879,12280,489,240,3.11,1,4.17,1360,1,desktop,5G
2026-01-01 00:00:50,4148,13475,312,240,0.47,0,1.73,319,0,tv,4G
2026-01-01 00:00:51,1834,15166,157,720,0.29,1,1.44,1419,0,mobile,WiFi
2026-01-01 00:00:52,3657,14501,168,720,7.21,2,0.84,1575,1,desktop,WiFi
2026-01-01 00:00:53,2170,10418,365,360,0.0,0,1.4,867,0,desktop,5G
2026-01-01 00:00:54,2966,17749,69,480,1.05,2,0.6,1442,0,desktop,4G
2026-01-01 00:00:55,3416,15141,208,480,0.84,1,1.16,323,0,mobile,WiFi
2026-01-01 00:00:56,1939,13367,429,360,2.42,0,0.41,1412,0,desktop,4G
2026-01-01 00:00:57,1206,18161,24,720,0.12,1,0.59,919,0,mobile,4G
2026-01-01 00:00:58,3601,10810,283,240,3.05,2,2.67,1775,0,tv,5G
2026-01-01 00:00:59,1359,15180,10,720,1.51,1,6.29,1799,0,mobile,WiFi
2026-01-01 00:01:00,4591,11019,290,720,2.33,5,0.73,1423,0,mobile,4G
2026-01-01 00:01:01,1720,11216,250,1080,2.67,0,2.0,129,0,tv,WiFi
2026-01-01 00:01:02,2291,15917,346,240,0.41,0,0.31,879,0,desktop,5G
2026-01-01 00:01:03,1627,12282,382,1080,1.56,2,0.35,1787,0,tv,WiFi
2026-01-01 00:01:04,3173,11344,122,1080,7.47,1,1.01,102,0,desktop,4G
2026-01-01 00:01:05,4744,16527,113,480,1.54,0,2.55,746,0,desktop,WiFi
2026-01-01 00:01:06,3550,12989,202,480,0.9,1,0.17,903,0,desktop,4G
2026-01-01 00:01:07,1512,15248,231,480,1.8,1,0.25,442,0,desktop,4G
2026-01-01 00:01:08,3364,11987,176,720,2.3,2,0.84,80,2,desktop,WiFi
2026-01-01 00:01:09,4699,11527,448,1080,1.14,2,1.24,1235,0,mobile,WiFi
2026-01-01 00:01:10,4373,19210,390,1080,1.46,2,0.99,834,0,desktop,WiFi
2026-01-01 00:01:11,4383,14321,204,240,0.71,2,1.39,897,0,tv,4G
2026-01-01 00:01:12,2846,15696,203,720,0.34,0,1.49,685,0,desktop,WiFi
2026-01-01 00:01:13,4740,13153,187,480,4.35,0,2.47,173,0,tv,4G
2026-01-01 00:01:14,3426,12786,492,360,3.61,1,1.6,778,0,desktop,5G
2026-01-01 00:01:15,1082,10007,400,240,1.06,1,1.89,323,1,tv,5G
2026-01-01 00:01:16,3150,10274,326,1080,6.7,0,0.64,656,0,tv,4G
2026-01-01 00:01:17,4999,17424,227,360,2.79,1,0.63,547,0,mobile,5G
2026-01-01 00:01:18,4264,14467,136,720,3.34,1,0.16,103,0,mobile,5G
2026-01-01 00:01:19,2489,11506,132,480,2.16,1,1.04,590,1,desktop,WiFi
2026-01-01 00:01:20,1961,12867,330,720,0.47,3,0.71,1681,0,mobile,5G
2026-01-01 00:01:21,2585,10495,95,480,1.16,1,1.24,502,0,mobile,WiFi
2026-01-01 00:01:22,2754,12040,263,1080,0.12,2,1.08,1054,0,mobile,5G
2026-01-01 00:01:23,4075,17439,463,240,0.16,4,5.07,237,0,mobile,4G
2026-01-01 00:01:24,1226,17038,94,360,1.11,2,1.44,1474,0,mobile,4G
2026-01-01 00:01:25,2635,18604,344,480,0.88,0,0.39,740,0,tv,5G
2026-01-01 00:01:26,1809,14190,179,240,2.51,0,1.01,574,1,tv,WiFi
2026-01-01 00:01:27,1391,16231,260,720,2.53,2,2.32,1702,0,tv,WiFi
2026-01-01 00:01:28,4611,19582,140,1080,1.29,4,0.69,1430,0,desktop,4G
2026-01-01 00:01:29,1562,19731,469,720,0.79,0,2.14,1533,0,tv,WiFi
2026-01-01 00:01:30,3414,15061,467,240,1.12,4,5.2,41,0,desktop,5G
2026-01-01 00:01:31,4413,16728,294,480,2.35,0,5.22,914,0,tv,4G
2026-01-01 00:01:32,4490,13564,151,240,1.1,0,0.23,353,1,desktop,WiFi
2026-01-01 00:01:33,3296,19347,164,1080,1.57,2,0.79,1513,1,mobile,WiFi
2026-01-01 00:01:34,4688,17544,424,360,2.42,3,0.19,1423,1,desktop,WiFi
2026-01-01 00:01:35,3396,19521,251,1080,0.52,2,1.45,657,0,tv,5G
2026-01-01 00:01:36,3086,12262,288,720,0.25,0,0.58,1766,0,mobile,5G
2026-01-01 00:01:37,4496,13670,188,480,0.64,1,1.91,1338,0,desktop,4G
2026-01-01 00:01:38,4827,15198,495,360,1.58,0,6.36,1148,0,desktop,4G
2026-01-01 00:01:39,1093,15901,225,480,1.74,3,1.44,1566,0,desktop,4G
2026-01-01 00:01:40,1666,12193,20,1080,6.33,1,1.61,1293,0,mobile,4G
2026-01-01 00:01:41,4275,16476,318,1080,2.03,2,1.08,1423,1,mobile,WiFi
2026-01-01 00:01:42,1807,16547,334,720,0.21,2,0.54,1579,1,desktop,5G
2026-01-01 00:01:43,1669,13514,364,480,4.79,0,0.24,298,0,mobile,4G
2026-01-01 00:01:44,3608,14457,431,1080,4.22,2,4.72,944,0,desktop,5G
2026-01-01 00:01:45,1380,12925,79,240,0.79,1,3.87,1443,0,tv,5G
2026-01-01 00:01:46,2379,12818,204,480,0.99,2,2.06,824,1,tv,5G
2026-01-01 00:01:47,4373,12298,479,240,6.39,2,0.4,1362,0,mobile,5G
2026-01-01 00:01:48,2367,14084,367,1080,0.73,4,0.07,1627,0,tv,5G
2026-01-01 00:01:49,1921,12093,136,720,0.77,0,0.35,391,1,tv,WiFi
2026-01-01 00:01:50,4291,17597,274,1080,1.32,4,0.36,1790,0,desktop,5G
2026-01-01 00:01:51,4700,13986,36,1080,0.86,2,0.43,1529,0,tv,WiFi
2026-01-01 00:01:52,2121,12954,409,480,0.73,1,0.27,1270,0,desktop,WiFi
2026-01-01 00:01:53,2959,11882,275,360,0.77,1,0.79,1004,0,desktop,5G
2026-01-01 00:01:54,1000,11230,183,360,0.11,3,0.17,1380,1,tv,5G
2026-01-01 00:01:55,3830,12614,117,480,1.38,1,0.3,311,0,mobile,4G
2026-01-01 00:01:56,3445,16528,104,240,0.04,2,0.45,1439,0,tv,5G
2026-01-01 00:01:57,3594,18646,132,240,1.9,0,0.19,331,0,mobile,5G
2026-01-01 00:01:58,4060,14398,317,480,7.47,2,6.81,1050,0,tv,WiFi
2026-01-01 00:01:59,3953,10956,236,720,4.68,0,0.24,702,0,desktop,5G
2026-01-01 00:02:00,2726,18234,97,1080,2.91,3,0.03,741,0,mobile,4G
2026-01-01 00:02:01,2411,12085,418,480,7.37,3,1.1,1168,0,desktop,WiFi
2026-01-01 00:02:02,3875,14568,240,240,3.0,0,7.68,1729,0,desktop,WiFi
2026-01-01 00:02:03,1524,15075,360,240,3.19,1,2.67,221,0,desktop,5G
2026-01-01 00:02:04,2323,16290,15,1080,2.01,0,0.52,56,0,tv,5G
2026-01-01 00:02:05,4218,13863,275,1080,5.43,1,0.45,651,0,desktop,WiFi
2026-01-01 00:02:06,4975,17246,47,480,2.1,0,0.26,1112,0,tv,4G
2026-01-01 00:02:07,4069,13240,23,1080,2.68,3,2.16,1224,0,tv,WiFi
2026-01-01 00:02:08,1083,14240,33,480,2.98,2,1.25,1653,0,desktop,WiFi
2026-01-01 00:02:09,2135,15890,256,360,0.42,1,1.55,347,0,desktop,5G
2026-01-01 00:02:10,2310,15739,479,1080,7.31,0,1.29,600,0,tv,WiFi
2026-01-01 00:02:11,3057,15032,375,480,1.05,1,2.03,217,0,mobile,WiFi
2026-01-01 00:02:12,1261,10423,387,240,1.77,3,0.84,1729,0,mobile,4G
2026-01-01 00:02:13,4750,12515,323,1080,2.68,0,0.24,409,1,desktop,WiFi
2026-01-01 00:02:14,2873,12979,136,720,0.74,0,0.6,1002,0,tv,4G
2026-01-01 00:02:15,1510,10369,169,1080,1.63,1,4.24,1617,0,desktop,5G
2026-01-01 00:02:16,4177,15117,174,1080,3.44,0,2.12,1508,0,mobile,WiFi
2026-01-01 00:02:17,4666,11562,247,1080,1.64,1,2.98,675,0,desktop,4G
2026-01-01 00:02:18,1808,19218,146,1080,0.43,2,0.67,750,0,desktop,4G
2026-01-01 00:02:19,1767,16247,32,720,2.0,2,0.41,538,0,mobile,5G
2026-01-01 00:02:20,4740,18422,44,360,0.81,3,5.91,345,1,tv,5G
2026-01-01 00:02:21,3248,11533,48,360,2.09,2,0.04,1644,0,desktop,4G
2026-01-01 00:02:22,2301,19034,166,720,0.28,0,0.18,681,2,tv,4G
2026-01-01 00:02:23,2658,15649,461,360,0.3,0,1.02,1108,0,desktop,WiFi
2026-01-01 00:02:24,2034,17541,433,720,0.17,2,0.27,872,0,mobile,5G
2026-01-01 00:02:25,3231,16866,368,1080,1.8,0,0.58,1534,0,mobile,WiFi
2026-01-01 00:02:26,3989,17551,324,1080,1.01,0,0.93,481,0,tv,4G
2026-01-01 00:02:27,1860,11054,315,360,0.96,1,0.65,1263,1,mobile,WiFi
2026-01-01 00:02:28,4260,12352,180,240,0.56,0,4.37,1582,0,tv,WiFi
2026-01-01 00:02:29,2947,17019,112,480,4.07,2,11.97,999,0,tv,4G
